src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
-4.384185668213604892e+00 -4.531392535755715656e+00 2.415990237383017991e+00 2.174313220218575538e+01
-4.348788833052259051e+00 -4.540582051589082013e+00 2.456852462991952812e+00 2.176575790573484070e+01
-4.427548974799507597e+00 -4.604823131184859974e+00 2.288853798130872086e+00 2.173410685648145702e+01
-4.447178420016223654e+00 -4.677519687527027514e+00 2.126592007230504677e+00 2.161837946569045599e+01
-4.418571910689859550e+00 -4.655522331412157655e+00 2.321445771907121092e+00 2.166396125396513028e+01
-4.382419939232482520e+00 -4.584871726243257228e+00 2.425946795201924466e+00 2.169500220824692960e+01
-4.326048898412631516e+00 -4.516808646849014508e+00 2.563833646601284322e+00 2.180000570210951949e+01
-4.337301957045173850e+00 -4.458739675460666518e+00 2.615207076056990765e+00 2.180454415630076426e+01
-4.308587478187297926e+00 -4.479803474331697899e+00 2.737849286243105418e+00 2.179393462391795921e+01
-4.381410563729935426e+00 -4.593723331859678183e+00 2.322033516337853598e+00 2.170799645435963754e+01
-4.332426673223031877e+00 -4.494954215958115284e+00 2.565988354148981188e+00 2.181882142499112476e+01
-4.382480386610696499e+00 -4.582365228463621598e+00 2.457273767426684685e+00 2.172164728531336664e+01
-4.433306832062065439e+00 -4.650644269285876931e+00 2.270338352012081451e+00 2.168059519638928023e+01
-4.466601981095902119e+00 -4.692482510182959032e+00 2.145840371870351149e+00 2.165950463580125884e+01
-4.395088654438167985e+00 -4.613781718964527379e+00 2.212044701796868296e+00 2.170240192337666585e+01
-4.187063760140754098e+00 -4.410295526554024903e+00 2.851657612015583432e+00 2.195307856751855269e+01
-4.398047094492008924e+00 -4.640561344221461937e+00 2.360601153380954109e+00 2.166766410424200373e+01
-4.256585987526639414e+00 -4.505721533257706746e+00 2.652475985210713816e+00 2.184279923375939703e+01
-4.494282150854643554e+00 -4.728099539034312571e+00 2.039924101753892494e+00 2.158685505443241581e+01
-4.470652466954403437e+00 -4.723393844522080443e+00 2.147883874085059652e+00 2.165207353718235694e+01
-4.463094666258923482e+00 -4.636673731844020097e+00 2.212641936690201483e+00 2.168301653438362564e+01
-4.512547335930172210e+00 -4.724666544578093763e+00 2.166177320197333778e+00 2.159320542377216512e+01
-4.324195183531029940e+00 -4.574511341755230553e+00 2.497317864428435286e+00 2.178948912177804687e+01
-4.327792621132387829e+00 -4.552490701146242102e+00 2.523133981607386112e+00 2.180222085621229766e+01
-4.291394419785245162e+00 -4.486258177085958643e+00 2.622777402229225174e+00 2.182379897366623922e+01
-4.339962756915317854e+00 -4.601645571868745677e+00 2.458984235004225027e+00 2.167255216363605896e+01
