src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
-1.585195454009236116e+00 -1.749035090247359925e+00 -1.626826000525902316e+00 -2.431801087743616918e-01 2.041147389678924640e+01
-1.737883123432642840e+00 -1.631903443176152990e+00 -1.575543496601424565e+00 -2.396043223655102139e-01 1.919922791783447025e+01
-1.653057181207004511e+00 -1.593439235103105034e+00 -1.547810101306745345e+00 -2.696077998536612341e-01 1.941183372481670233e+01
-1.650700936800039820e+00 -1.734042585761160105e+00 -1.581158333180240128e+00 -2.487347171629266107e-01 1.901909973974738932e+01
-1.453815122069466170e+00 -1.507327320444452390e+00 -1.573806924443314159e+00 -2.841160427409783473e-01 1.972373317121138570e+01
-1.600774195138677136e+00 -1.647367043572594447e+00 -1.593644055861045850e+00 -2.482172018572708083e-01 2.047246533331717444e+01
-1.658553059093034854e+00 -1.755619779539191683e+00 -1.562495973285556339e+00 -2.348127208579162684e-01 1.929031344237758816e+01
-1.703285717720219417e+00 -1.823564612274797270e+00 -1.689961131339235756e+00 -2.161122485383324410e-01 1.915302501258673828e+01
-1.560244282557284201e+00 -1.557697031389714049e+00 -1.473664027865112303e+00 -2.759472799706279567e-01 1.968279594085802486e+01
-1.575862408811025794e+00 -1.672972185199341766e+00 -1.508031552634460759e+00 -2.652669995605245745e-01 2.012317938343996460e+01
-1.600783081460270374e+00 -1.750434277910592584e+00 -1.537798835904533590e+00 -2.483135468034531890e-01 1.997495239862461247e+01
-1.590868386842847038e+00 -1.637067983350461553e+00 -1.562340448879398380e+00 -2.516929242855820981e-01 2.000105116608697386e+01
-1.658101539099031463e+00 -1.685259587974228701e+00 -1.599880637230477021e+00 -2.398438597556977747e-01 1.996106262284128974e+01
-1.588362697803950674e+00 -1.653467929176670737e+00 -1.506982243915185649e+00 -2.703733142645270426e-01 1.924847261800763931e+01
-1.718835945999511949e+00 -1.699343549291890021e+00 -1.605280050272384074e+00 -2.327380667186003116e-01 1.954733489907728128e+01
-1.653057181207004511e+00 -1.593439235103105034e+00 -1.547810101306745345e+00 -2.696077998536612341e-01 1.941183372481670233e+01
-1.645437246960756994e+00 -1.628253402742455336e+00 -1.531484820659470003e+00 -2.511275904801562042e-01 2.046972491523927218e+01
-1.568752608505754154e+00 -1.740679934254456107e+00 -1.639323782586729727e+00 -2.471921857191499150e-01 1.968631265324141566e+01
-1.641203543117717878e+00 -1.715944778339025589e+00 -1.606494318552355693e+00 -2.392674485151609076e-01 1.901913996294353382e+01
-1.594696582647648242e+00 -1.564854623607534023e+00 -1.504577809252755749e+00 -2.568053951899793574e-01 2.065692942566725421e+01
-1.680232699814714792e+00 -1.739051754374721703e+00 -1.625003159434506017e+00 -2.346678549070229103e-01 1.923143351671452450e+01
-1.518053199198854841e+00 -1.605532124289903884e+00 -1.410554142320267879e+00 -2.812573841031671407e-01 2.023211882592709188e+01
-1.666830226865168463e+00 -1.781826523506595983e+00 -1.543000076209032123e+00 -2.420923143729458715e-01 1.983595247222416447e+01
-1.592055823149820526e+00 -1.702979816432531379e+00 -1.584985117960769685e+00 -2.519374538604539637e-01 1.933078773335230949e+01
-1.452705534784092478e+00 -1.526190864581691287e+00 -1.381409399226863677e+00 -2.977580178946301892e-01 2.067010346885077610e+01
-1.724233877664936188e+00 -1.732860520289924544e+00 -1.644194931084788536e+00 -2.116232823797949969e-01 2.013950804234520930e+01
-1.567125221201722596e+00 -1.577418759615217603e+00 -1.505239923990057349e+00 -2.571913885173335856e-01 1.969438299124924896e+01
-1.751467936355535215e+00 -1.701667748521703771e+00 -1.630524422955509145e+00 -2.427684943210866031e-01 1.992242820993797636e+01
-1.622627309799961282e+00 -1.820295547038011996e+00 -1.578847810136789320e+00 -2.263337800923195253e-01 1.954662359052808185e+01
-1.661391057132783899e+00 -1.705496368911869176e+00 -1.577447911712127393e+00 -2.533359704749305052e-01 1.917987450852054465e+01
-1.822720106423051156e+00 -1.807715042483462042e+00 -1.701685775632653552e+00 -2.069631586673388313e-01 1.994586031952659511e+01
-1.809720256180598952e+00 -1.747890427009650693e+00 -1.654684639777746824e+00 -2.203907854201854200e-01 1.952328709478529944e+01
-1.612880259275490502e+00 -1.634445138033862932e+00 -1.486371540752642773e+00 -2.537233178619282548e-01 1.963076673752540202e+01
-1.571744843667206126e+00 -1.684097812327463473e+00 -1.478826685242434991e+00 -2.797440146511842585e-01 1.967877596092427694e+01
-1.585029032315844688e+00 -1.578188812415322495e+00 -1.513894604301389890e+00 -2.518499017658930583e-01 2.066954953832646069e+01
-1.611093689466702727e+00 -1.689905790221835957e+00 -1.505652404264268718e+00 -2.615170140237106366e-01 1.954525829480535037e+01
-1.628182934550472361e+00 -1.627916066473051870e+00 -1.522557540667160758e+00 -2.499107219673675218e-01 1.948726936664449738e+01
-1.844941928772247053e+00 -1.818624033056146061e+00 -1.779309256400251726e+00 -1.990509834215634655e-01 2.003516850400550098e+01
-1.628250133801237176e+00 -1.717847303001839521e+00 -1.620911126723792783e+00 -2.378883693654048059e-01 1.919987526530748312e+01
-1.626698608856129269e+00 -1.684293711824015105e+00 -1.514099508031388375e+00 -2.417133465617333776e-01 1.952418206162352021e+01
-1.670523213969122622e+00 -1.782172283127227530e+00 -1.620642652952978935e+00 -2.167718502281013038e-01 2.006547584391505268e+01
-1.853899381944689395e+00 -1.890256224919913741e+00 -1.736575939806169089e+00 -1.856658954351084745e-01 1.963844713596597913e+01
-1.630874777937514786e+00 -1.789933969591416485e+00 -1.583108056801632912e+00 -2.391493389689580695e-01 2.074405661470008511e+01
-1.599851371376231235e+00 -1.758022379183767470e+00 -1.597069267553906435e+00 -2.389140470601445188e-01 1.974941500975618780e+01
-1.608424761614777765e+00 -1.613533150472946431e+00 -1.419921817293754884e+00 -2.619968135706636225e-01 1.968477848501925820e+01
-1.642851482880820058e+00 -1.719319925148329098e+00 -1.541283617392677385e+00 -2.518520372537293994e-01 1.959905031912029827e+01
-1.608424761614777765e+00 -1.613533150472946431e+00 -1.419921817293754884e+00 -2.619968135706636225e-01 1.968477848501925820e+01
-1.553284654060677283e+00 -1.590991667941195509e+00 -1.426997946239874970e+00 -2.586494858452703660e-01 2.022249008080394361e+01
-1.690179794031291038e+00 -1.696976404461274512e+00 -1.588905471504996392e+00 -2.203652906135520340e-01 1.932974184775806847e+01
-1.662081443016242943e+00 -1.784813590533008920e+00 -1.638613388985827868e+00 -2.246156324673647120e-01 2.004138303967756585e+01
-1.748686548336382707e+00 -1.765737182956926610e+00 -1.656539781664784883e+00 -2.218531785823585345e-01 2.000965995334784964e+01
-1.707616440842780747e+00 -1.769651730367149511e+00 -1.576661559138514690e+00 -2.258547294752673018e-01 1.920077822570384285e+01
-1.651694792651359656e+00 -1.571808511506715078e+00 -1.602348360564741725e+00 -2.584116553741484523e-01 1.951191030165558971e+01
-1.553133686657138135e+00 -1.665979575820531799e+00 -1.565915183737188521e+00 -2.604548886386708340e-01 1.976535865906806677e+01
