src1.lognorm src2.lognorm src1.logkT src1.lognH
-4.145353551336702580e+00 -5.063140049451039459e+00 3.128293860211825983e-01 1.989963327263508575e+01
-4.233999926829625338e+00 -5.091764753445335856e+00 3.722137168344594738e-01 1.930107425868789761e+01
-4.112810292748236840e+00 -5.039920576754147064e+00 3.505095631966483882e-01 1.929316697728114605e+01
-4.144103945291590207e+00 -5.065198130062904092e+00 2.979209859356428680e-01 1.951261816829726214e+01
-4.125391794039723337e+00 -5.119162317115534933e+00 3.755996401938710427e-01 1.930056274110177839e+01
-4.121759163227823208e+00 -5.060300890818590247e+00 3.228733463782440527e-01 1.951952141384394679e+01
-4.111904871364604475e+00 -5.073709927682969578e+00 3.234788150069056734e-01 1.956278839281155513e+01
-4.155716594618596105e+00 -5.087560521931191460e+00 4.022795694173313397e-01 1.946351816409544000e+01
-4.115650433572051625e+00 -5.229100257031721100e+00 3.910664849521798825e-01 2.000272667302909113e+01
-4.084627420705454703e+00 -5.113375004266710988e+00 3.650161192719838521e-01 1.922634539797636322e+01
-4.158105038788664665e+00 -5.113278033424276003e+00 3.103791002812270605e-01 1.967355728173715690e+01
-4.152723105779844381e+00 -5.105816344246625782e+00 3.730204158484990984e-01 1.911034835503134843e+01
-4.146361736640577611e+00 -5.162872328828377100e+00 3.222352287070260335e-01 1.907103298504991074e+01
-4.103492310352676142e+00 -5.115662770101526924e+00 3.892341650045212376e-01 1.904616232345327020e+01
-4.138921838371523165e+00 -5.145935829454506560e+00 3.334420010562353376e-01 1.918456739225678120e+01
-4.167763150973459396e+00 -5.057989101225548012e+00 3.991175636668775617e-01 1.927324627711411509e+01
-4.164607811432018636e+00 -5.131351929843386728e+00 2.872961708332926190e-01 1.950208379560046623e+01
-4.145744333629690637e+00 -5.004964660531571852e+00 3.425325938966106154e-01 1.984685292140031621e+01
-4.123515998198165278e+00 -5.091615941461774320e+00 3.434149337275524960e-01 1.922336587608404201e+01
-4.138050178005226343e+00 -5.048957179911027993e+00 3.759456458043954896e-01 1.919225457257599032e+01
-4.138146501171757308e+00 -5.078217361444390399e+00 3.003706969145321093e-01 1.954463223110999337e+01
-4.161705546065587846e+00 -5.090609606641438134e+00 3.324491322855460673e-01 1.978872599308756719e+01
-4.145623340608867835e+00 -5.167279474604584699e+00 2.907961347339356184e-01 1.932498393009486293e+01
-4.118579958921944062e+00 -5.059228963538988211e+00 3.286624204541130911e-01 1.918537759869423454e+01
-4.117217339267573273e+00 -5.073327819173915287e+00 3.707167614775148667e-01 1.928687038254703978e+01
-4.106970698454103896e+00 -5.147434426969386578e+00 3.677698300175322732e-01 1.934635291271864332e+01
-4.095230093520825676e+00 -5.046589270581089082e+00 3.925978273998724788e-01 2.015747446485683625e+01
-4.144570625369583539e+00 -5.103739942885159309e+00 3.385816271539474620e-01 1.938402706826558131e+01
-4.147405945973098085e+00 -5.007305203929612425e+00 3.492408850887676053e-01 1.945958235045837270e+01
-4.161899179782061253e+00 -5.070284159432812743e+00 3.690830897462102911e-01 1.904614323880258908e+01
-4.140818960766198487e+00 -5.104921342677569029e+00 3.261120061385458513e-01 1.956869739911093475e+01
-4.141760244873784025e+00 -5.173467150162286643e+00 2.851515998448146405e-01 1.988537861440317656e+01
-4.125537680406356600e+00 -5.159356459417039353e+00 2.833786712016923559e-01 2.032013355298652257e+01
-4.147010457147631612e+00 -5.101945164834958746e+00 4.058326130284273248e-01 1.939930246589100804e+01
-4.133730552976484951e+00 -5.092762785012159732e+00 3.355821391617654914e-01 1.912180600668527575e+01
-4.170225552599621466e+00 -5.080680871543183486e+00 3.239038256825039763e-01 1.963333150976484731e+01
-4.138992259733645263e+00 -5.186086153329560133e+00 2.940889809677098565e-01 1.953399165052978859e+01
-4.115450183865266176e+00 -5.044399428193756307e+00 4.708868584337879692e-01 1.918479814049392118e+01
-4.105921328475149679e+00 -5.009024758063002736e+00 3.893694581619751016e-01 1.959849241974671941e+01
