src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-4.890944421145821508e+00 -5.047858099781816321e+00 -4.832922963257018090e+00 2.109487482874033759e+00 2.153555277375480870e+01
-4.887941334869433163e+00 -4.922043727083289966e+00 -4.813527156386224526e+00 2.307433613431662422e+00 2.164458464550597228e+01
-4.857603478446501200e+00 -4.917045990916047771e+00 -4.773516780186965569e+00 2.299020731273896168e+00 2.168987557235403685e+01
-5.234441586473850272e+00 -5.129152581849223402e+00 -5.079448566156914424e+00 1.694445364916671082e+00 2.121891179544999773e+01
-4.801537384085821536e+00 -4.877982622352890374e+00 -4.709997411875241013e+00 2.541049167411191689e+00 2.170894779535528230e+01
-4.848981761309738125e+00 -4.928581664352546632e+00 -4.740482017683352645e+00 2.555348515005339216e+00 2.163946698842831395e+01
-5.001394441651748402e+00 -5.030189128524314768e+00 -4.811167997250191064e+00 2.235878265425119693e+00 2.154945531818619031e+01
-5.035099482929251025e+00 -4.953809288349611428e+00 -4.922142411931148764e+00 2.099386417438826591e+00 2.151977350010183088e+01
-4.798188665309808698e+00 -4.879152162064680276e+00 -4.729295721281184584e+00 2.560785944933396507e+00 2.180229464342354362e+01
-4.743514671085851120e+00 -4.768969067613817003e+00 -4.634879008702413650e+00 2.790467491131714439e+00 2.183002977971264613e+01
-4.964267741156924707e+00 -4.960528780810639304e+00 -4.784021138402508200e+00 2.336287093867119857e+00 2.159287169454076860e+01
-4.957229606567929991e+00 -5.074279381505228947e+00 -4.860048219090749022e+00 2.084897889949187011e+00 2.154373036767830385e+01
-4.859913525081921648e+00 -4.951419587110061471e+00 -4.718700381702586100e+00 2.537416792028285961e+00 2.172242044526128524e+01
-4.987221669992988105e+00 -4.961222125659679349e+00 -4.908036031397596588e+00 2.163452079475444378e+00 2.157395819219372157e+01
-4.957648448462537161e+00 -5.002848474625065656e+00 -4.806846180524900980e+00 2.287776195779546384e+00 2.152350765186589854e+01
-4.946435867993713487e+00 -5.021993728016950875e+00 -4.836635385376236940e+00 2.220167992901436627e+00 2.163471109569227480e+01
-4.890941924133922925e+00 -4.922839167765864055e+00 -4.792122049665004546e+00 2.406911127391426319e+00 2.166028614131510466e+01
-4.976810727461165484e+00 -5.014205385139257842e+00 -4.880483710396894104e+00 2.286601484168034659e+00 2.154294933578702498e+01
-5.104182317958212423e+00 -5.115274594613826054e+00 -5.110669130596354748e+00 1.911450050250048882e+00 2.105519210669483954e+01
