src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
-1.777768562639858274e+00 -2.304774568982823624e+00 -2.261106131395814955e+00 8.254170551041850601e-02 2.089133093101115435e+01
-1.909373977166355374e+00 -2.496417925604855981e+00 -2.472511727855773778e+00 1.368137995819340702e-01 1.948521548795631020e+01
-1.887684446974705388e+00 -2.399356748721650057e+00 -2.314373413307571958e+00 1.161066175483784768e-01 2.003331225358021328e+01
-1.814264108006425680e+00 -2.352991345075939655e+00 -2.291468005278139763e+00 8.759022225527957062e-02 2.011272515567166153e+01
-1.930096830107360439e+00 -2.422570389804736379e+00 -2.331059047273829066e+00 1.337595059681380150e-01 1.985970607707942648e+01
-1.867350256660142094e+00 -2.412471651521292060e+00 -2.340122999378122515e+00 1.220729458468325923e-01 2.054217074995143832e+01
-1.890869480050263896e+00 -2.343247420101863376e+00 -2.381837746116334031e+00 1.134787003692205865e-01 2.064222739383341931e+01
-1.894811081442455247e+00 -2.438269966376219067e+00 -2.403623377362886337e+00 1.117751919947873596e-01 1.914680503126688649e+01
-1.871477958883883019e+00 -2.391183104798654036e+00 -2.391410736904212797e+00 1.192611832695216201e-01 1.904959405386313875e+01
-1.889027266319597054e+00 -2.371110079163026185e+00 -2.400263609076111138e+00 1.160366621098960493e-01 1.976854843503937786e+01
-1.807572280649354823e+00 -2.297656964233391719e+00 -2.358013670059022182e+00 8.994184220690648601e-02 2.078932011124439327e+01
-1.957624567833547324e+00 -2.444780325844805979e+00 -2.420904997686623261e+00 1.395075398620013729e-01 1.944220683528333282e+01
-1.897285324901384129e+00 -2.421870824245077713e+00 -2.427596184717784489e+00 1.282374699227282200e-01 1.969709249290846031e+01
-1.979618310850079332e+00 -2.481080319132043854e+00 -2.522379614422097127e+00 1.429944727537657556e-01 1.954607466629730084e+01
-1.892126123072577215e+00 -2.402506569321640306e+00 -2.328867946378951004e+00 1.255900459605339137e-01 2.041858171697104041e+01
-1.843267246341907750e+00 -2.369756214231673930e+00 -2.432092703582539706e+00 1.016358888048389808e-01 2.055732526962172102e+01
-1.920928595472480183e+00 -2.379452461228829918e+00 -2.362264972058755852e+00 1.281308310637094827e-01 1.933101921360530184e+01
-1.983713862175259912e+00 -2.508365147325601896e+00 -2.497136179473466555e+00 1.467094399557056228e-01 1.929005105821519095e+01
-1.868634843156817382e+00 -2.378983071153149886e+00 -2.330933059857306588e+00 1.056755453286317703e-01 1.966089994307186117e+01
-1.908812370275457582e+00 -2.409825580260880784e+00 -2.381144102442091182e+00 1.251349115467275119e-01 1.948613789624351611e+01
-1.866334277697487387e+00 -2.389018512658403814e+00 -2.318119189686226100e+00 1.058162035462890671e-01 2.032195460781036900e+01
-1.889027266319597054e+00 -2.371110079163026185e+00 -2.400263609076111138e+00 1.160366621098960493e-01 1.976854843503937786e+01
-1.877458604402375997e+00 -2.370472056762434221e+00 -2.326156879585351334e+00 1.006030081786937203e-01 2.081605656021985595e+01
-1.932625838910048799e+00 -2.467152673319215950e+00 -2.393413489523832816e+00 1.359166221384735529e-01 2.017753196163669571e+01
-1.866141378080364177e+00 -2.388586910378232453e+00 -2.354129570027199136e+00 1.177679515093590368e-01 1.936001441331337958e+01
-1.853671244104938332e+00 -2.309141575548956382e+00 -2.348060773890260577e+00 9.682137688432312927e-02 2.077986265986561065e+01
-1.959350790437504486e+00 -2.553900768707860536e+00 -2.457106545376699813e+00 1.517121874768867507e-01 1.950067593976293878e+01
-1.884741453509338527e+00 -2.402235433870497872e+00 -2.398216210283120375e+00 1.132250814097144342e-01 1.973531822121220003e+01
