weight logl src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -5.662694379361404572e+05 8.536524127011357876e-02 9.575420295163330486e-01 1.069704655371739310e-01 7.720099893625811394e-01 5.633017946835071621e-01
0.000000000000000000e+00 -5.447921805732019711e+05 9.183714925606166757e-01 9.948852189358224907e-01 4.818907001454034722e-01 6.987314215513598104e-01 1.080492558480873333e-01
0.000000000000000000e+00 -4.344127032386339852e+05 3.333465008786140604e-01 9.571060951791259264e-01 7.069354121838382632e-01 7.254095417935699786e-01 7.886887987688195878e-02
0.000000000000000000e+00 -3.112867271256496897e+05 1.677101939876703973e-01 7.718365307551776633e-01 3.601029772728456813e-01 9.102459204850915642e-01 1.541108968929867373e-01
0.000000000000000000e+00 -2.994342506464156904e+05 5.085314943184658931e-01 8.041880408990451645e-01 3.148525603434778608e-01 9.849770859403117473e-01 6.901256058028206741e-01
0.000000000000000000e+00 -2.401671489204915415e+05 8.271474301756770453e-01 2.343229664000836543e-01 7.640202868481416054e-02 8.241342931649429104e-01 1.859822142215949992e-01
0.000000000000000000e+00 -2.369684643775040167e+05 5.433153061246920323e-01 9.855723042371880016e-01 8.318440712704553430e-01 6.868871729837437989e-01 3.143905576820028580e-01
0.000000000000000000e+00 -1.785076896224180527e+05 5.998617023097569945e-01 7.386951890100188489e-01 7.729826048374957015e-01 8.865255494236238265e-01 5.669245186964688710e-02
0.000000000000000000e+00 -1.710461209349270212e+05 1.694912007683950783e-01 7.119330497477850406e-01 3.759081012351054296e-01 9.715921764571137098e-01 3.490086626790833702e-01
0.000000000000000000e+00 -1.607607316562267370e+05 4.470630479563282300e-01 7.459432876145294378e-01 6.880919331245614057e-01 9.186143040559169304e-01 4.997021464563572435e-01
0.000000000000000000e+00 -1.498218661926125642e+05 8.926079544929558240e-01 5.234825702703455041e-01 5.370041253351121036e-02 7.549173578653237682e-01 4.426839877486355990e-01
0.000000000000000000e+00 -1.235587995013388718e+05 8.671994870908771302e-01 9.386239302891273839e-01 1.562455817158751037e-01 6.926165927710706827e-01 8.442808278469127181e-02
0.000000000000000000e+00 -1.189358578527912177e+05 6.290092361062582516e-01 4.326336991354992056e-01 9.539276270847538708e-01 8.322824920926784609e-01 7.092168061183026229e-01
0.000000000000000000e+00 -1.184870731056424847e+05 6.294330994228206633e-01 9.288603304504350344e-02 7.890415130863701609e-01 8.873938757367341168e-01 3.452923948485731032e-02
0.000000000000000000e+00 -1.123918019597211533e+05 9.324848441583296621e-01 3.038374497552759346e-01 5.356020024624061904e-01 7.043054178284198219e-01 3.289644979137060776e-01
0.000000000000000000e+00 -1.120503186401372805e+05 7.180533827444084416e-01 3.433047036996694779e-01 9.345847504856952259e-01 7.965871763911275272e-01 6.363344343695619409e-01
0.000000000000000000e+00 -8.335557217448960000e+04 9.465612218847119230e-01 2.144469408604444682e-01 4.526285769613238585e-01 7.429777034616630305e-01 6.096457356891528123e-01
0.000000000000000000e+00 -6.509270688762311329e+04 6.037662009267352747e-01 6.236431249418150635e-02 8.591076060672468984e-01 8.459488748435398664e-01 6.460134316331260784e-01
