src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
-5.519880488079883740e+00 -4.774453848515292087e+00 1.727431757589184436e+00 2.080553337418006521e+01
-5.284436852411958263e+00 -4.730663710377027265e+00 1.763461331416293909e+00 2.106301109271179683e+01
-5.491287502548370725e+00 -4.761290459639268668e+00 1.691094996352103585e+00 2.104775117099962500e+01
-5.405316072973776365e+00 -4.764114730180391000e+00 1.689713188887558282e+00 2.042812529321011183e+01
-5.444811578528089946e+00 -4.788700510755813156e+00 1.640257649325556955e+00 2.082908010281754585e+01
-5.416585741583035407e+00 -4.803142617834190276e+00 1.632596661777854230e+00 1.991369392502068791e+01
-5.430530734914004398e+00 -4.814837342438813117e+00 1.513444351867041959e+00 1.990751376071764156e+01
-5.444910418081605030e+00 -4.864737816199557585e+00 1.467792464824057674e+00 1.997061675496739142e+01
-5.412791381191067508e+00 -4.798467162371599315e+00 1.623229667409983534e+00 1.929275049721697499e+01
-5.396161931763904462e+00 -4.818715187059231297e+00 1.632021451862479822e+00 1.915095873061592613e+01
-5.447607041758976365e+00 -4.816866304631139073e+00 1.574159402029970956e+00 1.936479591530101274e+01
-5.334031369345380469e+00 -4.740259994539981037e+00 1.820100525264782831e+00 2.083524529773136891e+01
-5.395930463342624606e+00 -4.767219581642825332e+00 1.719146097759288061e+00 1.944544104682779206e+01
-5.358238190747131924e+00 -4.814863716644421032e+00 1.533704593551487250e+00 1.992994169456926556e+01
-5.474010129396120306e+00 -4.813884543919167314e+00 1.654951699975687696e+00 1.907012236559185325e+01
-5.438573087733237443e+00 -4.796795651679301109e+00 1.575894427562617217e+00 2.041422351398678359e+01
-5.425560175377902361e+00 -4.825474487417039882e+00 1.558131249951722808e+00 2.041424045658920150e+01
-5.434603550335930677e+00 -4.828280872570738680e+00 1.672240047570544341e+00 2.045982526691758707e+01
-5.429777057973796950e+00 -4.820876379444449356e+00 1.570027799176640038e+00 1.993648511887492347e+01
-5.302977687128273665e+00 -4.695553064041558144e+00 1.883329611466098896e+00 2.096834089542551283e+01
-5.392644663244734460e+00 -4.805149161763846877e+00 1.567612727544035245e+00 2.074441854576238242e+01
-5.456809775628582493e+00 -4.831472108390995501e+00 1.614766573513605863e+00 2.047357738749957434e+01
-5.448547076720942073e+00 -4.764916650654512864e+00 1.769495324385135682e+00 1.991273346535834321e+01
-5.417396413833712288e+00 -4.817167085367041857e+00 1.661493453704694367e+00 1.912887260151029523e+01
-5.340534490612473206e+00 -4.754471793907166344e+00 1.817020967106430795e+00 2.060502057672377063e+01
-5.314528393509567294e+00 -4.762836387299076435e+00 1.740101370416838655e+00 2.082455591142367979e+01
-5.340295181223321919e+00 -4.765239445137711805e+00 1.678167484763902095e+00 2.074915306188826136e+01
-5.385680690811176063e+00 -4.824503520278686786e+00 1.556326787241390619e+00 1.900368989914631612e+01
-5.353558072886263730e+00 -4.740138376949553312e+00 1.783453144837642945e+00 2.087310740701475353e+01
-5.377056536648666452e+00 -4.825308744935703942e+00 1.641852194390186703e+00 2.015044690789137860e+01
-5.411549215695600878e+00 -4.826867449548938538e+00 1.721275402170610924e+00 2.046112418060069515e+01
-5.440398493156443749e+00 -4.803189075122504370e+00 1.701078832672894947e+00 2.034545074590169023e+01
-5.438623450317180641e+00 -4.786418801055090100e+00 1.565424420532455230e+00 2.023729579057606287e+01
-5.404266657023983456e+00 -4.782927474546714741e+00 1.614052262414473304e+00 1.906549060939834561e+01
-5.487477413880876398e+00 -4.839689110668692784e+00 1.588586216988644217e+00 1.978594858733787376e+01
-5.509566008436352469e+00 -4.843640875868977957e+00 1.580373472997051110e+00 2.051925914214442415e+01
-5.432594038924970725e+00 -4.786689997581706990e+00 1.770214740004213638e+00 1.984077371745534890e+01
-5.398754958285355343e+00 -4.770353951155816397e+00 1.743340947822586529e+00 1.999635093150378040e+01
-5.371680553977249417e+00 -4.771523420394632176e+00 1.720409919025089884e+00 2.074610163921813211e+01
-5.441836554023537609e+00 -4.815030816935207625e+00 1.510176520600466255e+00 1.960632538630811794e+01
-5.482754709868025600e+00 -4.785120241880314929e+00 1.782904436307379825e+00 2.054252504962442671e+01
-5.537953529461444369e+00 -4.884249365590413561e+00 1.519036930727218682e+00 1.958039540103257536e+01
-5.420849886311251531e+00 -4.766565913246789243e+00 1.753800940919147955e+00 2.042463182817054346e+01
-5.382948715163243136e+00 -4.793399712144665870e+00 1.678624787242357641e+00 1.976468997874805567e+01
-5.428278598973259150e+00 -4.817694530116582996e+00 1.525760590530706118e+00 1.909780896503988856e+01
-5.458006894377668061e+00 -4.787922272319489636e+00 1.662916188011205776e+00 2.067636231905397892e+01
-5.437359402200212521e+00 -4.822220303105197559e+00 1.650696729617476599e+00 2.012288991447223907e+01
-5.451202850511749354e+00 -4.814507055863866292e+00 1.545647960941118448e+00 1.995084891166515462e+01
-5.332279323076469346e+00 -4.690282357040605810e+00 1.881533947113002370e+00 2.107814845367321510e+01
-5.269754936499097653e+00 -4.747800209451659370e+00 1.821091104479869216e+00 2.109525838090781136e+01
