src1.lognorm src2.lognorm src1.logkT src1.lognH
-1.314998516548874008e+00 -1.466631946778157669e+00 -2.184528067604900592e-01 1.953214318026606833e+01
-1.278336330563281109e+00 -1.485491802838309283e+00 -2.222983388579886643e-01 1.910536791320924266e+01
-1.221290820293781110e+00 -1.400672376838932642e+00 -2.313278098234512470e-01 1.964407424504288713e+01
-1.269927212218961543e+00 -1.438703772053325558e+00 -2.241571372665629447e-01 1.905037426257301192e+01
-1.347813268246105700e+00 -1.541469736004705382e+00 -2.070002926214482564e-01 1.951493252165356296e+01
-1.281098236859639528e+00 -1.435364793384532156e+00 -2.273090391511973785e-01 1.927363314060655597e+01
-1.133803309480459376e+00 -1.316760488847418031e+00 -2.557627496715761950e-01 1.993773564520470032e+01
-1.315473938765319595e+00 -1.499632467860821272e+00 -2.196227991482531117e-01 1.976844951668775963e+01
-1.355413109281393247e+00 -1.556365056998387786e+00 -1.910001882997667266e-01 2.014242396143023228e+01
-1.360842373623111001e+00 -1.540857477127269171e+00 -1.968329185434480877e-01 1.900569707380675410e+01
-1.189184209965492123e+00 -1.383545122661960391e+00 -2.323132122580808812e-01 2.057925597147247387e+01
-1.221290820293781110e+00 -1.400672376838932642e+00 -2.313278098234512470e-01 1.964407424504288713e+01
-1.277722649027696278e+00 -1.497250313852497960e+00 -2.062176246753231190e-01 1.986682737300914425e+01
-1.251856373290037183e+00 -1.427143200374422882e+00 -2.322053106063508565e-01 1.905130516455120571e+01
-1.176705846557975832e+00 -1.403985581603566679e+00 -2.467797162045859416e-01 2.018470125711646546e+01
-1.154098195893926260e+00 -1.343945366985732193e+00 -2.502032869036190377e-01 2.074186642063019903e+01
-1.235037170811526863e+00 -1.380369363253393544e+00 -2.365570854825964631e-01 2.029310329015307701e+01
-1.202845321313166238e+00 -1.411285728940738338e+00 -2.417462468863491587e-01 1.973561290931905887e+01
-1.267849730488646465e+00 -1.415646813736907816e+00 -2.334587364566833578e-01 1.969144965516447954e+01
-1.255454931044392097e+00 -1.432800545485166666e+00 -2.255392857381144367e-01 1.932893757684242075e+01
-1.282352573811033736e+00 -1.483060328343268175e+00 -2.159572723565248431e-01 1.957268386170029473e+01
-1.251337496042205011e+00 -1.468437230149421069e+00 -2.206845904629433086e-01 1.981555134209416025e+01
-1.226386972472978343e+00 -1.398122685116398145e+00 -2.296600807725384108e-01 1.976357624857961426e+01
-1.232898864656570836e+00 -1.402341141768125965e+00 -2.248677611050404757e-01 2.047329104645158893e+01
-1.273339759768867374e+00 -1.469979175983747055e+00 -2.289953925661079026e-01 1.906152848017278956e+01
-1.252847607840242183e+00 -1.423330554237011825e+00 -2.322124944131775948e-01 1.929335283285095315e+01
-1.239305384282165079e+00 -1.434934702889607117e+00 -2.223269583518447945e-01 1.918626314181353720e+01
-1.302230822211221550e+00 -1.445276049020452369e+00 -2.185068085724886089e-01 2.020095223892964853e+01
-1.307079853559823590e+00 -1.436800143585535317e+00 -2.275357559780442074e-01 1.924035591838098114e+01
-1.250045752134883337e+00 -1.439734312318162068e+00 -2.241193311672136090e-01 1.901636089977213118e+01
-1.303653351688971007e+00 -1.538915060698760939e+00 -2.007172898399178784e-01 1.900391218725988196e+01
-1.364568517369731282e+00 -1.547084189306628943e+00 -1.978235448258987006e-01 1.972072936788624276e+01
-1.180881267194263451e+00 -1.359847907776719822e+00 -2.454164440150661264e-01 2.065773400936638282e+01
-1.193720642209919802e+00 -1.454902858060199478e+00 -2.325314836488105996e-01 1.987328751049648545e+01
-1.247428608195689570e+00 -1.380783098468271852e+00 -2.329199311179630527e-01 1.979819900681371081e+01
-1.310472801388542052e+00 -1.535069600187177308e+00 -2.109942469578909297e-01 1.971193199538127772e+01
