FGL,name,l,b,Class,CT,nH_LAB,var_inter,var_intra,nobs,ncounts,fb,pl,pl_l,pl_u,log10Z_pl,mk,mk_l,mk_u,log10Z_mk,nH,nH_l,nH_u,bb,bb_l,bb_u,log10Z_bb
J0859.2-4729,J085906.6-473022,267.9390788217735,-1.0521032968642734,CV,0.2768039219775762,21.866255400304183,,1.0,1,254.61250512556,9.001822796468173e-14,0.3475275060867,-0.4237101525591234,1.201156050195909,-0.7430155824727588,0.9716649916360836,0.8082192081754469,1.1892415754851036,0.0,23.521578543802416,23.47481602056913,23.56970849613556,0.581923466716733,0.3909202335365891,0.8235102943316512,-0.9512641129578917
J0859.2-4729,J085905.5-473036,267.94009959658416,-1.0570111617323517,YSO,0.8028299968943886,21.866262263066396,,0.9900787676459464,1,685.26484331658,8.959893277645604e-14,2.4703056960216863,2.2950846012197643,2.6616533124130206,0.0,0.5052679974568035,0.44220957853866527,0.5765137235408715,-0.39632380403758133,22.47313736816635,22.429212196223887,22.51854976916581,-0.05090927335901752,-0.06970796543785962,-0.03071017081303484,-5.594952813337646
J1843.7-3227,J184316.0-322414,2.7533156660335085,-12.566518724859675,NS,2.75315029836545,20.908651012797137,0.583,0.78504481377763,2,447.816936223801,8.482236585652839e-14,1.8486942186177175,1.6801560355787934,2.034635626528001,-0.8254387265841351,0.8150490822369286,0.6964707594744957,0.976397420341577,0.0,21.962089047863365,21.89364145845108,22.032695851451205,-0.028533693921702016,-0.05181663004538711,-0.007027677335089688,-6.174749433509741
J1615.3-6034,J161519.3-603852,325.49391866976,-7.050090497817599,LM-STAR,2.407877856365051,21.268771792395405,,0.9999907289686976,1,127.13893503763,7.987105151513537e-14,2.7928801629252207,2.3806725447525574,3.176697796063756,-0.24558673170210746,0.37854186603813567,0.3032698024216873,0.4597326861841285,0.0,19.958129433575206,19.325116719949182,20.650121822467604,-0.3605450743167431,-0.3920504862357128,-0.3263492749458692,-2.3066295728517616
J0859.2-4729,J085903.5-473058,267.94099647811043,-1.0653489919317316,YSO,2.761005091256806,21.866225497449857,,0.9999999811138556,1,520.83485727766,7.906779541488802e-14,2.4122532149232514,2.203581096624145,2.606534553146648,-0.4599994390245212,0.5157732568286213,0.45049399794506945,0.5948956554727844,0.0,22.3962837127764,22.350243549065986,22.440042495381384,-0.04565803236449839,-0.06790043318793959,-0.02513702438296431,-2.1661634502634923
J1725.1-3408,J172510.9-340843,353.26556923643346,0.8464700255293314,NS,0.1485032555623668,22.06355478744211,,0.99842217170428,1,114.76768175328,7.71483912797199e-14,1.509074619031637,0.9536106528005464,2.13390378386378,-1.0926123256798828,0.8947562058449188,0.6400577610733201,1.2168412549365777,0.0,22.76584922057452,22.67593663760078,22.851491294490664,0.1794856299862304,0.10276966890671271,0.2792823287996597,-1.6219755005807717
J2059.1+4403,J205846.9+435151,85.14896200451798,-1.2891680778859511,YSO,3.320524556946907,21.869160604012073,,0.9999999999999284,1,101.44880288478,7.499286248618388e-14,1.7314651286506448,1.0648006072983056,2.455043973733672,-1.211430826846264,0.7220970601012744,0.5308147023295884,0.9962428541359662,0.0,22.795597213099988,22.70751255975089,22.88834830947857,0.130538617538813,0.04223179541381893,0.2392359469371872,-1.4947593521093365
J0859.2-4729,J085854.2-472841,267.89514551446877,-1.0602357132076339,AGN,0.1907871733503841,21.863454527776053,,0.948965058991316,1,327.91100315884,7.325746961159052e-14,1.9356393884057623,1.5880047022230093,2.294317952388217,0.0,1.2475082751553859,1.0423469560221539,1.401632898518824,-0.17399370561837316,22.833219008289536,22.755039025304175,22.903748470459483,0.09590855137234167,0.05460613957400762,0.14003620393322125,-0.08338876773978733
J1256.9+2736,J125740.2+273118,49.15119249178802,88.5609977601807,AGN,56.03920523929851,19.906189102839125,,0.96386955388487,1,313.17864973855,7.308439916427599e-14,1.957276979028526,1.8430198130535107,2.09805499660286,0.0,0.5971906613503537,0.5255592749620412,0.6877345140440064,-0.15952324478077715,20.21487727338514,19.42708222234745,20.89973732934126,-0.23042572515974105,-0.2504840701224777,-0.2102260124140632,-13.467028992575754
J1435.4+3338,J143542.6+333404,55.316692941668606,66.67186284998698,AGN,427.5642472373269,19.96544478732667,0.141,0.82777243639557,1,117.43834430083,7.21221709043628e-14,2.0680761948522504,1.863413525783005,2.296803676827686,-0.118107716833146,0.5437697251766074,0.43427955540335533,0.6687675476862749,0.0,19.75983893522577,19.245176239277377,20.3822951079916,-0.3287411521984937,-0.36731594257084943,-0.2924271255108728,-4.167220158534847
