name,powlaw_nh,detect_stack_id,obsid,obi,region_id,var_prob_b,ks_prob_b,kp_prob_b,src_cnts_aper90_b,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b
2CXO J172026.9-370322,,acisfJ1719221m370246_001,10525,0,21,,,,0.0,0.0,0.0,8.6871816786116e-14,0.0,13.431073371757
2CXO J085906.6-473022,1715.97,acisfJ0859206m473014_001,2556,0,552,1.0,0.9999999999996322,1.0,254.61250512556,8.6386739114896e-14,7.9866431409605e-14,9.2907046820188e-14,235.25607338245,273.96893686868
2CXO J085905.5-473036,211.51,acisfJ0859206m473014_001,2556,0,180,0.63705957775705,0.9988545972777311,0.9900787676459465,685.26484331658,1.0010388435172e-13,9.5214217176856e-14,1.0466757371493e-13,651.63229293438,716.49506867147
2CXO J184316.0-322414,67.6614,acisfJ1843137m321742_001,8958,0,3,0.27859176033707,0.60192625657673,0.78504481377763,56.925068265541,9.4451864967229e-14,7.9176003254831e-14,1.0972772667963e-13,47.832280520679,66.017856010404
2CXO J184316.0-322414,67.6614,acisfJ1843137m321742_001,9955,1,3,0.069499636397439,0.19760328155255003,0.14124430568789004,390.89186795826,8.1376380223662e-14,7.6276347321928e-14,8.6476413125396e-14,366.70099963824,415.08273627828
2CXO J161519.3-603852,,acisfJ1614449m603850_001,4957,0,8,0.99119878731246,0.986583041340017,0.9999907289686977,127.13893503763,7.6936302356033e-14,6.8268401907566e-14,8.5094326307531e-14,113.69781245931,140.58005761595
2CXO J085903.5-473058,173.698,acisfJ0859206m473014_001,2556,0,137,0.99999683698426,0.999999998962754,0.9999999811138557,520.83485727766,7.7895487632356e-14,7.3854884862164e-14,8.1936090402549e-14,493.79896868939,547.87074586592
2CXO J174457.8-290509,,acisfJ1745067m290719_001,7035,0,25,0.27590874940745,0.29150778745516004,0.0693533591894,93.697470027866,8.8766033974013e-14,7.7996831107879e-14,9.9535236840148e-14,82.323425245753,105.07151480998
2CXO J174457.8-290509,,acisfJ1744234m290019_001,2295,0,60,,,,,,,,,
2CXO J174457.8-290509,,acisfJ1745090m290626_001,2293,0,66,,,,,,,,,
2CXO J174457.8-290509,,acisfJ1744217m290116_001,7036,0,123,0.075970810966074,0.79419053362078,0.89548302026679,37.425034542447,8.239202563399e-14,6.5539111299765e-14,9.9244939968215e-14,28.959848157846,45.444684801543
2CXO J174457.8-290509,,acisfJ1744217m290116_001,8567,0,123,0.16413059182092,0.06529642234333,0.24170845706407995,48.668894490248,8.9942913998782e-14,7.3816673319499e-14,1.0606915467807e-13,39.675729204007,57.66205977649
2CXO J174457.8-290509,,acisfJ1743554m291017_001,2268,0,569,,,,,,,,,
2CXO J174457.8-290509,,acisfJ1743518m291114_001,7039,0,573,,,,0.0,1.3917452567528e-13,1.1259062751258e-13,1.6575842383797e-13,0.0,47.170783093231
2CXO J174457.8-290509,,hrcfJ1743521m290027_001,6196,0,1323,,,,,,,,,
2CXO J174457.8-290509,,hrcfJ1743521m290027_001,6197,0,1323,,,,,,,,,
2CXO J174457.8-290509,,hrcfJ1743521m290027_001,8534,0,1323,,,,,,,,,
2CXO J174457.8-290509,,hrcfJ1743521m290027_001,9033,1,1323,,,,,,,,,
2CXO J174457.8-290509,,hrcfJ1743521m290027_001,9039,0,1323,,,,,,,,,
2CXO J174457.8-290509,,hrcfJ1744402m292135_001,6200,0,1419,,,,,,,,,
2CXO J174457.8-290509,,hrcfJ1744402m292135_001,6201,0,1419,,,,,,,,,
2CXO J174457.8-290509,,hrcfJ1744402m292135_001,9034,1,1419,,,,,,,,,
2CXO J174457.8-290509,,acisfJ1745401m290028_001,1561,0,2034,,,,24.584054994189,3.978210354583e-14,2.9836577659373e-14,4.9727629432288e-14,16.878604921384,32.289505066995
2CXO J174457.8-290509,,acisfJ1745401m290028_001,6641,0,2034,,,,2.8842885117273,2.9692923579809e-14,6.9283488352888e-15,5.1467734205002e-14,0.0,5.7685770234546
2CXO J174457.8-290509,,acisfJ1745401m290028_001,6646,1,2034,,,,6.2241154084742,5.5097458115045e-14,2.4345388469438e-14,8.4568191525418e-14,2.3550706950983,9.9249407864859
2CXO J174457.8-290509,,acisfJ1745401m290028_001,7559,0,2034,,,,3.0944942853118,4.4796661111092e-14,1.5358855238089e-14,7.4234466984095e-14,0.25787452377598,5.9311140468475
