name,powlaw_nh,detect_stack_id,obsid,obi,region_id,var_prob_b,ks_prob_b,kp_prob_b,src_cnts_aper90_b,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b
2CXO J103302.5+572833,26.3847,acisfJ1032042p573715_001,3345,0,151,0.088684891555218,0.05240282271954999,0.21741039586945998,125.57189471226,2.7531433593748e-14,2.2444103473164e-14,3.2618763714332e-14,110.13196218403,140.1035959153
2CXO J103224.8+573153,,acisfJ1032042p573715_001,3345,0,4,0.074970692866182,0.47509460580911,0.45667533234956004,110.99609662431,3.1037029755232e-14,2.7513790228942e-14,3.4560269281523e-14,98.661398339994,123.33079490862
2CXO J103224.8+573153,,acisfJ1033202p573715_001,1699,1,62,0.41996058386383,0.16019331538364,0.44038946004221,65.888556231274,2.3412154589039e-14,1.9331731577918e-14,2.749257760016e-14,55.184584401276,76.592528061273
2CXO J103225.1+572814,,acisfJ1032042p573715_001,3345,0,1,0.19730105987955,0.48678212448042,0.47443999399235004,108.54869521584,2.7510444334951e-14,2.3758354444064e-14,3.1041823055787e-14,95.492871828709,121.60451860297
2CXO J103142.0+573015,,acisfJ1032042p573715_001,3345,0,2,0.13183341842917,0.25836922933458994,0.29353790618027,92.287700009871,2.6425799514976e-14,2.2995581474227e-14,2.9654240023917e-14,80.754829719176,103.14216616582
2CXO J073717.0+653557,,acisfJ0737190p653619_001,4627,0,42,0.053495957895354,0.5708221995379901,0.6055199188618501,542.40335468018,8.3666998074498e-14,7.9361215686909e-14,8.7972780462087e-14,514.12791586868,570.67879349167
2CXO J073717.0+653557,,acisfJ0737190p653619_001,4628,0,42,0.035421645610652,0.5507955320293301,0.76683714927492,491.98374471008,5.8548208219454e-14,5.5358722167141e-14,6.1737694271767e-14,465.87235056464,518.09513885552
2CXO J073717.0+653557,,acisfJ0737190p653619_001,4629,0,42,0.078926674136665,0.19020466923099,0.32219896490837996,267.20427787281,3.0001072471729e-14,2.7732067565078e-14,3.2128264571715e-14,247.21267231455,287.19588343107
2CXO J073717.0+653557,,acisfJ0737190p653619_001,4630,0,42,0.098663509825095,0.27471233636262005,0.06500088993332998,148.98507797128,1.5218614168605e-14,1.3698374452813e-14,1.664383890216e-14,134.34180528373,163.62835065883
2CXO J073717.0+653557,,hrcfJ0736238p653537_001,2937,1,56,,,,,,,,,
2CXO J073717.0+653557,,acisfJ0736501p653446_001,2014,1,136,,,,0.0,0.0,0.0,3.0834724047069e-15,0.0,1.961300789625
2CXO J161945.8-504222,,acisfJ1620420m504014_001,14531,0,174,0.13735910119134,0.28028579342157,0.29805958669805,66.687686603408,2.3614029010489e-14,1.9052227951644e-14,2.8175830069333e-14,55.722647085784,77.652726121032
2CXO J125751.0+273231,,acisfJ1257288p273028_001,12887,0,25,0.12382266403182,0.06314473440901003,0.005006840726930029,105.91796535686,2.5086466368188e-14,2.2146683030712e-14,2.8026249705664e-14,93.728998386332,118.10693232738
2CXO J143529.6+334733,,acisfJ1435339p333952_001,4235,1,17,0.37554352597822,0.05068848735697995,0.08654472352030995,10.387532710491,3.174413755431e-14,1.9840085971444e-14,4.3648189137176e-14,6.4922079440569,14.282857476925
2CXO J143529.6+334733,,acisfJ1435403p334146_001,7772,0,34,0.22123761344554,0.74291001480651,0.37671289606346003,47.845730850204,2.3308321994233e-14,1.8594279343714e-14,2.776047338639e-14,39.384241905585,56.307219794822
2CXO J125734.0+272730,,acisfJ1257288p273028_001,12887,0,12,0.10703500894069,0.30610090180885996,0.31573153692641,151.45920473921,4.3567574178099e-14,3.9368406175834e-14,4.7766742180365e-14,136.86464319959,166.05376627882
2CXO J125734.0+272730,,acisfJ1258005p272155_001,4724,0,48,0.21077759009157,0.7847314142846,0.72983792776486,73.189931322379,1.7207287997792e-14,1.4421829312663e-14,1.9992746682921e-14,61.729885470407,84.649977174351
2CXO J225435.8+010158,,acisfJ2255074p005825_001,8173,1,22,0.84258008284719,0.2778658360435,0.17464023953778995,24.558153715874,2.5095341983753e-14,1.8101558152215e-14,3.1677726766377e-14,18.32116229597,30.795145135779
2CXO J225435.8+010158,,acisfJ2255074p005825_001,9594,1,22,0.42662198226281,0.32948577459574,0.40533149358985,26.035403949099,2.4357034338898e-14,1.767849266533e-14,3.0642720619905e-14,19.626689130859,32.444118767339
2CXO J125745.0+273210,,acisfJ1257288p273028_001,12887,0,24,0.11923772067266,0.59585831866385,0.30964104938431003,83.35907438909,2.305388370248e-14,2.0008095654581e-14,2.6099671750379e-14,72.357704850367,94.360443927813
2CXO J151100.5+054912,14.3242,acisfJ1511028p054455_001,6101,1,6,0.32479126098284,0.911248031310611,0.67212943871331,30.960161056684,2.9868461827343e-14,2.3062989512252e-14,3.629585234715e-14,23.99412481893,37.53919528123
2CXO J151100.5+054912,14.3242,acisfJ1510587p054541_001,4977,0,40,0.32028070876635,0.89300012593933,0.77113220111338,180.73473271628,2.1866735091632e-14,1.9842468556858e-14,2.3891001626406e-14,164.125005483,197.34445994956
2CXO J151100.5+054912,14.3242,acisfJ1511253p055412_001,10435,0,48,,,,0.0,0.0,0.0,5.8900893197737e-14,0.0,14.200230945243
2CXO J151100.5+054912,14.3242,acisfJ1510540p054547_001,891,0,125,0.13336732368922,0.016772272223649964,0.0022301588237899628,32.52017552334,2.3808281710151e-14,1.8766527936237e-14,2.8850035484065e-14,25.551566482624,39.488784564055
2CXO J103145.7+573401,,acisfJ1032042p573715_001,3345,0,14,0.34033829066308,0.55893859824133,0.41556595943404995,70.416415064211,2.1481591919125e-14,1.8221856457479e-14,2.4560230966235e-14,59.838981536615,80.40621339583
2CXO J103143.3+573157,,acisfJ1032042p573715_001,3345,0,5,0.47097382369293,0.22451149068054,0.05577361710671003,92.342830939742,2.1254347260336e-14,1.8388520802168e-14,2.4120173718503e-14,80.151162208805,104.53449967068
2CXO J044308.1+361310,,acisfJ0442521p360623_001,4507,0,19,0.086188075473726,0.00801940089575004,0.00843689743745002,66.672630412501,1.8284386275354e-14,1.5285693283153e-14,2.1283079267555e-14,56.576302035927,76.768958789075
2CXO J063850.7-801522,,acisfJ0638293m801452_001,14925,0,11,0.66988421710944,0.9570433539482051,0.934574359491832,39.296664930325,1.7963606954548e-14,1.4412661393765e-14,2.1305673364696e-14,31.528719537121,46.607672359222
2CXO J181908.5-204037,,acisfJ1819055m205227_001,2535,0,114,0.56523610895136,0.84410397881306,0.900197330578249,41.813297922251,1.2452984471091e-14,7.9699100614981e-15,1.6686999191262e-14,32.005240384933,51.621355459569
2CXO J181908.5-204037,,acisfJ1819127m204717_001,6405,0,210,0.2896891292819,0.935251927376479,0.68299618659658,58.688775550024,1.8073459564271e-14,1.5148676077265e-14,2.0998243051276e-14,49.279469616517,68.098081483532
2CXO J143530.0+334335,,acisfJ1435403p334146_001,7772,0,5,0.21042896413787,0.03478827809777996,0.07748443077091005,46.203300242429,2.0137854781823e-14,1.6306865831711e-14,2.3756011012484e-14,37.57743192208,54.349953656091
2CXO J143530.0+334335,,acisfJ1435339p333952_001,4235,1,9,0.48401993917875,0.57725727588415,0.903842642761793,7.1700842120323,1.0324813814536e-14,5.5595151309038e-15,1.5090112498167e-14,3.8608145757097,10.295505535226
2CXO J143530.0+334335,,acisfJ1436249p335205_001,4232,1,41,,,,0.0,0.0,0.0,3.7378029916521e-14,0.0,7.7858090387949
2CXO J125705.5+273252,,acisfJ1257288p273028_001,12887,0,26,0.86107717623331,0.977815634907163,0.89288177416199,48.974526631178,1.8235303767737e-14,1.4979666053668e-14,2.1490941481806e-14,40.411169019703,57.537884242653
