14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] iteration=242, ncalls=607, regioncalls=8280, ndraw=40, logz=-4108.87, remainder_fraction=100.0000%, Lmin=-4106.50, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] iteration=252, ncalls=620, regioncalls=8800, ndraw=40, logz=-4108.72, remainder_fraction=100.0000%, Lmin=-4106.50, Lmax=-370.28
14:54:12 [ultranest] [DEBUG] Plateau detected at L=-4.106501e+03, not replacing live point.
14:54:12 [ultranest] [DEBUG] iteration=263, ncalls=632, regioncalls=9280, ndraw=40, logz=-4108.58, remainder_fraction=100.0000%, Lmin=-4106.50, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=272, ncalls=646, regioncalls=9840, ndraw=40, logz=-4108.48, remainder_fraction=100.0000%, Lmin=-4106.50, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=280, ncalls=658, regioncalls=10320, ndraw=40, logz=-4108.40, remainder_fraction=100.0000%, Lmin=-4106.50, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=291, ncalls=671, regioncalls=10840, ndraw=40, logz=-4108.30, remainder_fraction=100.0000%, Lmin=-4106.50, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=300, ncalls=688, regioncalls=11520, ndraw=40, logz=-4108.23, remainder_fraction=100.0000%, Lmin=-4106.50, Lmax=-370.28
14:54:13 [ultranest] [DEBUG] iteration=307, ncalls=702, regioncalls=12080, ndraw=40, logz=-4108.18, remainder_fraction=100.0000%, Lmin=-4106.50, Lmax=-370.28
