weight logl src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -3.349877987955030441e+09 9.271694449176560715e-01 6.873306284889841855e-01 9.491134882801078865e-01 6.452299987413689930e-02 7.318862302353978944e-01
0.000000000000000000e+00 -3.156815044473387718e+09 7.562504925866535554e-01 8.688739441386784668e-01 4.435817485696713636e-01 1.030259996972204828e-01 3.888072007231480054e-01
0.000000000000000000e+00 -2.366476133946369648e+09 9.756031565870807443e-01 5.158806836237153082e-01 7.940346204957547949e-01 1.943971500066449254e-01 6.128574168045890502e-01
0.000000000000000000e+00 -2.138964712561815500e+09 2.019275304107143176e-01 9.363524956298157065e-01 7.402036501680099301e-01 1.768759243047535179e-01 5.653623316417498712e-01
0.000000000000000000e+00 -2.080818613442284107e+09 2.852319592888168387e-01 7.669550744870937686e-01 5.730559342410592727e-01 1.140063567366977892e-02 3.472441558007470785e-01
0.000000000000000000e+00 -1.915735628162152529e+09 8.659802788958907982e-01 3.753647557960609893e-01 2.612615705591428972e-01 1.168438371097292316e-01 9.608858064092262730e-02
0.000000000000000000e+00 -1.696308947715243578e+09 7.872849705429038059e-01 7.874354154958015384e-01 5.252602220959193824e-01 7.079818844712826298e-02 1.339580934755785213e-01
0.000000000000000000e+00 -1.638742620531593084e+09 3.921955754442387754e-01 8.635651193780571333e-01 2.759500603479613234e-01 1.273103313360420819e-01 3.157812121194690791e-01
0.000000000000000000e+00 -1.623256140493572950e+09 3.912608295885335874e-01 9.966598564704430840e-01 5.496986521535729420e-02 7.016981396367982793e-01 1.939206805581847881e-01
0.000000000000000000e+00 -1.620354516106478691e+09 8.225579597476775362e-01 7.454629307501925428e-02 5.619783245044752684e-01 1.671461372382998523e-02 6.825313623344461122e-01
0.000000000000000000e+00 -1.564220634912024975e+09 9.112750472270083613e-01 3.666145531908669986e-01 6.355558328288417602e-01 1.254987612629262506e-01 6.534515603210164780e-01
0.000000000000000000e+00 -1.560498763410430670e+09 1.330609955310485537e-01 9.828553854086350405e-01 4.504554827433211450e-01 7.283212692012335232e-01 7.969230768982038526e-02
0.000000000000000000e+00 -1.513261969066173553e+09 9.946857640495300190e-01 4.531562221367306798e-01 1.758904227829223288e-01 7.051219619692257190e-01 1.655601655952712026e-01
0.000000000000000000e+00 -1.248543216646726847e+09 2.238809811189135246e-01 2.593748814634613264e-01 9.364371352593636733e-01 1.738726315608881690e-01 7.221814253276281903e-03
