src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-4.462105634451485336e+00 -4.975077862639249560e+00 -4.920523316935936364e+00 9.897555737564482925e-01 2.179231934063029641e+01
-4.501881922599092256e+00 -5.071746345862628402e+00 -5.165616636219969138e+00 8.436328573033744505e-01 2.172597488024442569e+01
-4.490894173807057577e+00 -4.961506640415950464e+00 -4.902458561681799054e+00 9.298617694465636241e-01 2.177548825116776499e+01
-4.569561527196391637e+00 -5.090310430793492102e+00 -5.015277968007182174e+00 7.753780943101800105e-01 2.162259997895624153e+01
-4.530795781674321177e+00 -5.034994919009109893e+00 -5.005011507872671572e+00 8.185772273108580244e-01 2.171615801050442229e+01
-4.547069684047690075e+00 -5.071607656591308633e+00 -5.135313224243345687e+00 8.234777768556482691e-01 2.160056125653834158e+01
-4.484428408994904913e+00 -5.043322095094772806e+00 -4.989718017110748249e+00 8.864430728146035499e-01 2.168393084681830274e+01
-4.579494405083576858e+00 -5.127899627496764978e+00 -5.083471911324888737e+00 7.510718100540665354e-01 2.164747163201256441e+01
-4.275562228197697934e+00 -4.783683473167489097e+00 -4.836902274713347438e+00 1.236971846574715705e+00 2.197081977075767156e+01
-4.549487061268450816e+00 -5.069936836293365445e+00 -4.934969362704150875e+00 8.569745991958925835e-01 2.160387693751269467e+01
-4.439758247256960999e+00 -4.936256399471927736e+00 -4.911973154321597868e+00 1.017677617149557179e+00 2.178344678370826415e+01
-4.396696283902509883e+00 -4.891072843956385086e+00 -4.855231038458317272e+00 1.016204425703581826e+00 2.186777202373772155e+01
-4.525257306280744629e+00 -4.981440719229938807e+00 -4.984021793076693463e+00 8.428425149573102182e-01 2.177022218464496106e+01
-4.484038879172882019e+00 -5.006012597142821541e+00 -4.900771833949832512e+00 8.889181470749267788e-01 2.180409983499980342e+01
-4.557022431192191192e+00 -5.104942738646096601e+00 -5.130916299423533111e+00 8.266193623499713539e-01 2.160300840300813618e+01
-4.378997151743710958e+00 -4.936328653881192352e+00 -4.982563714725589676e+00 1.057838177285940873e+00 2.187110935791371347e+01
-4.385939354473769036e+00 -4.965792099781911162e+00 -4.833108136888405681e+00 1.052159652105816079e+00 2.183531308080859290e+01
-4.452701499886455139e+00 -4.989521404995461928e+00 -4.964187760685017103e+00 9.271178379115156964e-01 2.177506605152132835e+01
-4.402964775439206946e+00 -4.869543473253552968e+00 -4.867619890349634382e+00 1.071951233531878600e+00 2.185042842963771648e+01
-4.460389249670925871e+00 -4.997425926418859632e+00 -5.067008643770704701e+00 8.957570031788071319e-01 2.177203837795743979e+01
-4.567857183292153955e+00 -5.121219796010628933e+00 -5.029072610509441432e+00 7.535263572475443539e-01 2.160567866703470941e+01
-4.459979103914452736e+00 -5.034466710003894896e+00 -5.008840255900916638e+00 9.132989622205096580e-01 2.171073371851690936e+01
-4.394819572101272165e+00 -4.957548624469286125e+00 -4.971040047953557917e+00 1.024365364714095783e+00 2.190046987906624665e+01
-4.360522614396844077e+00 -4.864489431801422015e+00 -4.915999038448631175e+00 1.096583851242663776e+00 2.188674921019792308e+01
-4.556188092262233091e+00 -5.074124356667589097e+00 -5.007488671049546092e+00 7.788378371886812701e-01 2.171546877160101374e+01
-4.467143699541124668e+00 -4.978931399652925194e+00 -4.957005332875767500e+00 9.547407857986573987e-01 2.178929569565303126e+01
-4.480880370161971271e+00 -4.989655920825224911e+00 -4.921655347393759428e+00 9.149771919482114768e-01 2.178538061420832861e+01
-4.483822987471866028e+00 -4.981970118440862905e+00 -4.933285887480142407e+00 8.953203435826280199e-01 2.178149611087716764e+01
-4.426411914370479650e+00 -5.031418162230265168e+00 -4.864060444399444627e+00 1.010519752718760600e+00 2.175253938600372905e+01
-4.502255243184339228e+00 -5.036150606134483176e+00 -4.999502842688597681e+00 8.482002994186101930e-01 2.170683127554437064e+01
-4.583229023406289571e+00 -5.086679718268767303e+00 -4.947745179245426783e+00 7.235288152946033335e-01 2.163641268864610723e+01
-4.487388442520196641e+00 -5.001439219399646419e+00 -4.874588480185569672e+00 8.983451028932094573e-01 2.172858415677931632e+01
-4.366758413215899637e+00 -4.882880828237390780e+00 -4.818802800900122918e+00 1.102982124464834790e+00 2.187725359882496790e+01
-4.441600988891595492e+00 -4.985179758239386416e+00 -5.025510749699471091e+00 9.769489088852347791e-01 2.182187079691177445e+01
-4.500103227232031600e+00 -5.022384752375749883e+00 -5.038961253139974339e+00 9.089720192941146415e-01 2.174048858348371027e+01
-4.512755578593946382e+00 -5.047457527795760512e+00 -4.965194497335339463e+00 8.516406076939184722e-01 2.171926402505614462e+01
-4.381174616304273073e+00 -4.931112844159374120e+00 -4.962197402475648111e+00 1.124281226511396170e+00 2.182476405483068760e+01
-4.511464671581033592e+00 -5.034474076552371891e+00 -5.007992801834006968e+00 8.455849473030681018e-01 2.163470060000633666e+01
-4.535084812706328350e+00 -4.963423579045739942e+00 -4.974590831861567253e+00 8.719360969366150016e-01 2.168509537125401110e+01
