src1.lognorm pl1.PhoIndex src1.lognH
-5.215897956287339987e+00 2.157426524483929242e+00 2.200146251523589669e+01
-5.175674060790882436e+00 2.288756445751896962e+00 2.208316157190870399e+01
-5.283679070036896519e+00 1.800937541441232526e+00 2.181925307867111385e+01
-5.209029555561150104e+00 2.085442689659078752e+00 2.196033503812715892e+01
-5.394875712545204927e+00 1.538293657134722991e+00 2.172235891290408460e+01
-5.634816260165529833e+00 1.142287633514436074e+00 2.171693972035822995e+01
-5.461350136448577253e+00 1.402830722581612122e+00 2.186507771394482091e+01
-5.681748716450581327e+00 1.207080133347307793e+00 2.140950123434981833e+01
-5.267595475654137438e+00 2.186087159188853768e+00 2.196033713401990539e+01
-5.234527012764002230e+00 1.905215335377750563e+00 2.214749382171137171e+01
-5.117451384224673383e+00 2.046177388840761502e+00 2.214000923396970677e+01
-5.536352344909224676e+00 1.557124297558661219e+00 2.158263078678904279e+01
-4.966962122041358896e+00 2.109767503488467533e+00 2.224159180744307918e+01
-5.033179090268030009e+00 1.936549720354928006e+00 2.217161024203516462e+01
-5.466871034650122141e+00 1.647755011143279269e+00 2.181791483652698105e+01
-5.278057328388774394e+00 1.693588028652453836e+00 2.207866804869326316e+01
-5.955704928556034616e+00 7.482551893922435582e-01 1.938062962877718576e+01
-5.418537927303430202e+00 1.560146517122106502e+00 2.179196497021204948e+01
-5.633696605442733762e+00 1.521461332844324943e+00 2.130042945727444703e+01
-5.450344462812536150e+00 1.613180425482600988e+00 2.174863853926838431e+01
-5.446918047686508224e+00 1.468570983745785874e+00 2.189060725143641051e+01
-5.518169548131796276e+00 1.400580826774164400e+00 2.153334545747543061e+01
-5.408469612942096383e+00 1.684732706578079942e+00 2.174548632664401637e+01
-5.131060726874306255e+00 2.138028842090452741e+00 2.212715004552251230e+01
-5.922071770242614441e+00 6.263621628352900039e-01 2.026094346408724789e+01
-5.125196670509570396e+00 2.123652473381300254e+00 2.206105489004723097e+01
-5.560560905848728197e+00 1.410649440750518124e+00 2.174343428400426248e+01
-5.058446621033253265e+00 2.217915559718863783e+00 2.219567327236996945e+01
-5.268578060318875877e+00 1.819189774765765932e+00 2.201487685606440081e+01
-5.102446465064477188e+00 2.130108224539750239e+00 2.210803151541976064e+01
-5.712758600860804670e+00 1.093150165230823312e+00 2.116865569390215995e+01
-5.231619912576091380e+00 2.086245196654574308e+00 2.203154237417921024e+01
-5.588639568334732743e+00 1.115454909904888936e+00 2.172263691342620362e+01
-5.439266258406870946e+00 1.549503751264540874e+00 2.187194570013440043e+01
-5.452038565114764701e+00 1.507388217506988148e+00 2.169822133164733913e+01
-5.483519523681497532e+00 1.567591007325347618e+00 2.181489570829782565e+01
-5.239043526132198814e+00 1.964179453168263478e+00 2.200032025372173550e+01
-5.771268641112841102e+00 1.206522716085590474e+00 2.162518451467673941e+01
-5.541578270750447288e+00 1.587899551865124437e+00 2.176440101276656947e+01
-5.927217644325629919e+00 5.650869945195475808e-01 2.031590357366638600e+01
-5.451834093091835420e+00 1.529453773497657210e+00 2.193803278828453429e+01
-5.888526644687718026e+00 5.824520607983196818e-01 2.026306731604586631e+01
-5.463850215077323824e+00 1.529977345771743380e+00 2.176000745791808910e+01
-5.237257107556771984e+00 1.970854662738355856e+00 2.215246145788383814e+01
-5.178784210136809563e+00 1.930150339083876787e+00 2.208834145050063213e+01
-5.528502202385335629e+00 1.508956834649888279e+00 2.171223671673094202e+01
-5.179124761985124614e+00 2.022648807808395510e+00 2.210045991067918791e+01
-5.538062110925745074e+00 1.310327547454314789e+00 2.176161751770213471e+01
-5.218333368039818509e+00 2.244224271186632258e+00 2.208311864233603572e+01
-5.392975242314580697e+00 1.707788158579966797e+00 2.192930326733134549e+01
-5.344514836153484438e+00 2.022119878455952424e+00 2.188111112527599644e+01
-5.364689507012254666e+00 1.679527042182019869e+00 2.190014268595932379e+01
-5.413788953655716440e+00 1.663913795229507109e+00 2.189357222504562372e+01
-5.638477129115861075e+00 1.099342005876757788e+00 2.172801023994118452e+01
-4.880743004008113672e+00 2.645591117292724448e+00 2.221701056724671020e+01
-5.648939455729598436e+00 1.433257452694483014e+00 2.142434536325596994e+01
-5.432404802555816481e+00 1.560413951496711249e+00 2.195764014555940946e+01
-5.571559262347424379e+00 1.691448295575338712e+00 2.171724861970344023e+01
-5.303119444093949753e+00 1.808335906893026923e+00 2.206584964821045958e+01
-5.769862228357221845e+00 8.396429154436311215e-01 2.125156290791998970e+01
-5.168148518373461897e+00 2.312578039693364396e+00 2.200762810718589080e+01
-5.379175783543730383e+00 1.796270359571124686e+00 2.181835734094180879e+01
-5.875107039033212963e+00 8.217142518138214058e-01 1.947139850935108640e+01
-5.303693104696952432e+00 1.857488902623936511e+00 2.189008171412671899e+01
-5.476318008394425618e+00 1.625505048456211910e+00 2.186928065158605605e+01
-5.302861386587295556e+00 2.008529638674668050e+00 2.182170786381828265e+01
-5.393555501517923290e+00 1.385386022323555899e+00 2.192565766125723314e+01
-6.029722944152897668e+00 4.347145277865402946e-01 1.990713002748012528e+01
-5.782219415715407429e+00 9.831204170485818850e-01 2.100255535521277395e+01
-5.412415045640139866e+00 1.543432839365310727e+00 2.168839825522325526e+01
-5.586578016997302498e+00 1.260941894511257821e+00 2.143713352345909939e+01
-5.544009436105342914e+00 1.261521362544005598e+00 2.167385623946828588e+01
-5.392271062996671915e+00 1.510692991505536042e+00 2.191830511586107022e+01
-5.598270394064595479e+00 1.383719169914598979e+00 2.195864235094828842e+01
-5.546513158684001965e+00 1.556849099814993309e+00 2.164196334260011056e+01
-5.554585558904207687e+00 1.051394649094072875e+00 2.167950666134217741e+01
-5.475572937914648719e+00 1.486729287292748225e+00 2.180654967115136600e+01
-5.191332510583933413e+00 1.794415885980674474e+00 2.203210919502823018e+01
-5.581634604456001902e+00 1.082735696645545254e+00 2.178331213024619117e+01
-5.569519957536153143e+00 1.051949528167745562e+00 2.171865407116367308e+01
-5.535381217759884009e+00 1.257122388972480742e+00 2.182623576087780748e+01
-5.456216288917136836e+00 1.494443332344654429e+00 2.197968487402996374e+01
-5.210040956682393087e+00 1.904265663680107856e+00 2.204460897462489655e+01
-5.611326718838594019e+00 1.353472406098261693e+00 2.176331632980477337e+01
-5.447463037116360596e+00 1.584378543788561799e+00 2.186286854284936965e+01
-5.649092922417548124e+00 1.334077744136157762e+00 2.157781743439815614e+01
-5.535159985726314957e+00 1.582882166258437806e+00 2.171577172433498859e+01
-5.409266442610896952e+00 1.763608231110631586e+00 2.183615485002615131e+01
-5.342639204715179169e+00 1.577425801112276815e+00 2.192524162991227143e+01
-5.053731566777337036e+00 2.116247454685804996e+00 2.217379422343186235e+01
-5.655839446875186916e+00 1.104429511944283071e+00 2.128390305124164428e+01
-5.599506025585771596e+00 1.046583342898364855e+00 2.172966546675329269e+01
-5.482788622766198827e+00 1.571032273141851121e+00 2.174112629079079539e+01
-5.717055542242411192e+00 1.134042670481506754e+00 2.174339911619193089e+01
-5.379776044799520207e+00 1.657701398712278618e+00 2.205787334897859608e+01
-5.452912140521890549e+00 1.640042488584231961e+00 2.194166574041744155e+01
-5.484126169340223456e+00 1.497669292789565176e+00 2.170306312260841963e+01
-5.770571801913121135e+00 1.144244944742841774e+00 2.153004939539403040e+01
-5.274729274086173980e+00 1.676971628568883155e+00 2.209149774110040099e+01
-5.411110056808947633e+00 1.866600093898104440e+00 2.184708388623366915e+01
-5.462185250345580556e+00 1.398806106440040331e+00 2.181318477274226098e+01
-5.277071279733278608e+00 2.075175094517097918e+00 2.192195957806829654e+01
-5.690953925714930861e+00 9.713963167192263271e-01 2.153380593907916563e+01
-5.407603728029746648e+00 1.582455577581640682e+00 2.211573522607933384e+01
-5.733656629523531834e+00 9.012770552328328577e-01 2.040934997589258515e+01
-5.058978926163495871e+00 2.249775286870496771e+00 2.207798193735163395e+01
-5.636822184439647998e+00 1.250082690528489415e+00 2.138287437153139336e+01
-5.658694047615229650e+00 1.198902676727220395e+00 2.155173067858818214e+01
-5.151070073809338012e+00 2.032299334246771672e+00 2.214596312566312619e+01
-5.351902124085165191e+00 1.816921658760622726e+00 2.200846072258618946e+01
-5.239003157856245707e+00 1.732422764390433301e+00 2.199154464064110925e+01
-5.210955852498406315e+00 2.308988838360651386e+00 2.199835491509870167e+01
-5.525536417164809144e+00 1.205827806037449434e+00 2.170291284409438504e+01
-5.566315719581250043e+00 1.379570740231002013e+00 2.168671963070343978e+01
-5.369672564287495398e+00 1.845994192527371958e+00 2.195225561155099214e+01
-5.472988940607756092e+00 1.689484057155003605e+00 2.186613652461696233e+01
-5.676558479998512041e+00 1.020554531137114473e+00 2.174023016465524449e+01
-5.188949045435892415e+00 2.025692787766408820e+00 2.196826238553634170e+01
-5.535520155095074557e+00 1.456008670686615325e+00 2.172532570559908294e+01
-5.541090074342241323e+00 1.244788579760743197e+00 2.170167323126387871e+01
-5.435661294300794921e+00 1.426849403931012894e+00 2.200864237225549402e+01
-5.471229291806925410e+00 1.549503664243486512e+00 2.182665934813944375e+01
-5.209437483839037597e+00 2.094804769538149536e+00 2.200959505510615344e+01
-5.394813326120985408e+00 1.783854746610153086e+00 2.191296045651440849e+01
-5.823342896644893685e+00 8.153560777214905464e-01 2.021259862137267760e+01
-5.450052570060776702e+00 1.644501701734311538e+00 2.188251060823273164e+01
-5.778552313242455440e+00 9.994409231741014921e-01 2.139761673617301341e+01
-5.155733011405341237e+00 1.923267039901650932e+00 2.209310562274365353e+01
-5.350482374863229751e+00 1.614125415358381055e+00 2.166108077632631890e+01
-5.635053525591706247e+00 1.102844092371258355e+00 2.159680368004033468e+01
-4.995876428097241195e+00 2.492945395171155987e+00 2.216983923665273437e+01
-5.411726879421873804e+00 1.552320246530061176e+00 2.184163221065300320e+01
-5.639941730976284262e+00 1.158500023739930995e+00 2.177359371385740161e+01
-5.191484909330773334e+00 1.974852925056650221e+00 2.208765900178887165e+01
-5.303115463723408141e+00 1.823788860851923488e+00 2.198656595527175739e+01
-5.649837781193078889e+00 1.180013913617465882e+00 2.171597757809659512e+01
-5.391140039421016716e+00 1.865682490682624817e+00 2.186525444254055373e+01
-5.599046742555849221e+00 1.201261851232613864e+00 2.134092733386000162e+01
-5.336011988359474323e+00 1.887076106601480951e+00 2.197902643604760442e+01
-5.542768685063435896e+00 1.505548370959655102e+00 2.172500580300119211e+01
-5.703427057082715024e+00 9.250040793683202978e-01 2.180569930701070192e+01
-5.333556231779603252e+00 1.759158550195661697e+00 2.197898528780736882e+01
-5.438354658809004150e+00 1.451557225910911519e+00 2.185650173184895806e+01
-5.580068212650251880e+00 1.267149159317430218e+00 2.182963900454983630e+01
-5.493033023334146669e+00 1.618130899788363664e+00 2.174381789945320165e+01
-5.660662020840287134e+00 1.264895863166572987e+00 2.133491966369728488e+01
-5.412531124313179731e+00 1.641803753543669586e+00 2.177250217251634723e+01
-5.465952165186788392e+00 1.555098745733373811e+00 2.175761852025602749e+01
-5.035934827018212268e+00 2.277632444784615906e+00 2.213706581433715215e+01
-4.959815118489650843e+00 2.519546991028938976e+00 2.211946531018878304e+01
-5.439876465018585350e+00 1.408607277220349729e+00 2.201983045508587367e+01
-5.539702200230041562e+00 1.360436570561132541e+00 2.174504796741756252e+01
-5.052325459995545387e+00 1.918535739437523091e+00 2.216464156858942047e+01
-5.315330339669701587e+00 1.841156199440113106e+00 2.192655655149743765e+01
-5.484126169340223456e+00 1.497669292789565176e+00 2.170306312260841963e+01
