src1.lognorm pl1.PhoIndex src1.lognH
-5.437046155749458265e+00 1.368283864346413026e+00 1.988466057081856420e+01
-5.202829238237704601e+00 1.553010826038341285e+00 2.142712730588736392e+01
-5.277604624865034566e+00 1.335876809230491347e+00 1.931178179448951582e+01
-5.374178651571200227e+00 1.701571642428543640e+00 2.067998220294841616e+01
-5.299272593198352865e+00 1.231989169204176449e+00 1.916147423215098300e+01
-5.325020132017512786e+00 1.153443760498562121e+00 1.999872277708742629e+01
-5.269525636599717622e+00 1.533498647165833617e+00 2.108274098432172394e+01
-5.047506839342744023e+00 2.378066164258457960e+00 2.146771732847378544e+01
-5.257688496784267862e+00 1.808624856368760803e+00 2.081290495031182175e+01
-5.332294537819592506e+00 1.335892291207831484e+00 1.940616945989469500e+01
-5.307871504461245671e+00 1.319675231199564536e+00 1.932773330653777677e+01
-5.354346114905175646e+00 1.181682662111599669e+00 2.017554870658925736e+01
-5.240314378173401622e+00 1.409904511453376585e+00 1.917132384624104802e+01
-5.088187271788966903e+00 1.918827650390967143e+00 2.129939639577697008e+01
-4.930110452528239762e+00 2.411295264818254402e+00 2.171713607162272552e+01
-5.074928469029311273e+00 1.791687080710661739e+00 2.157736816936621693e+01
-5.215199148473916857e+00 1.901899372302014335e+00 2.122507527741964140e+01
-5.008856583041174204e+00 1.924293573944608760e+00 2.138001006349711730e+01
-5.200110089214783571e+00 1.994043392359369449e+00 2.143868809522774654e+01
-5.236600487108295177e+00 1.777001025857269489e+00 2.018227023977935985e+01
-4.924822451522317124e+00 2.344857340329952855e+00 2.173921705643356006e+01
-5.209353959693022063e+00 1.898245080524753270e+00 2.075131925550535428e+01
-5.192824654432648401e+00 1.841440796718934791e+00 2.052525770276913519e+01
-5.270995191879597641e+00 1.759250739520354045e+00 1.923945543513645262e+01
-5.234334963148873143e+00 1.458121849601440978e+00 2.077619234467254827e+01
-5.240802993398264498e+00 1.534716066284061320e+00 1.974106366008569324e+01
-5.228316409070183468e+00 1.462906819038449768e+00 2.098120720838780429e+01
-5.338525003697979443e+00 1.533427784894847434e+00 1.945514128733117332e+01
-4.720820977176576783e+00 2.792292633284975345e+00 2.182618132599981919e+01
-5.279803983717537008e+00 1.738149972244583452e+00 1.965075166922172656e+01
-5.005429360078247569e+00 1.932901734161518448e+00 2.149261874043270737e+01
-5.445331734853777306e+00 1.098513627053693931e+00 1.925753310269840668e+01
-5.000055562622098826e+00 1.866362821745553013e+00 2.158048749409023515e+01
-5.229017552852717188e+00 1.455675693564935536e+00 2.132377154209802228e+01
-5.398393644852694351e+00 1.105742561008217884e+00 1.975338648866867786e+01
-5.126250196854861052e+00 1.792140760639209240e+00 2.121378367475102777e+01
-5.222648589186311696e+00 1.584893874949996118e+00 2.045728646403490458e+01
-5.006537421288715706e+00 2.001581885526026561e+00 2.161403518974227111e+01
-5.235565959711903083e+00 1.708608653411581635e+00 2.080186934339785054e+01
-5.291079879612915704e+00 1.353155224003145918e+00 2.102730466743429361e+01
-5.307183450382161993e+00 1.307658092892201473e+00 2.001715404870674320e+01
-4.846728172212412034e+00 2.314342180730387888e+00 2.170842168693113194e+01
-5.255130846072258777e+00 1.868036842756154670e+00 2.128015195928698233e+01
-5.162110708793809621e+00 1.586130535119936624e+00 2.140010941826835733e+01
-5.045196249835246505e+00 1.764493776872521735e+00 2.169824198940886362e+01
-5.291831519360007619e+00 1.384582520527343874e+00 2.056013130262098443e+01
-5.221740303247397463e+00 1.577866298270060419e+00 1.942145156892264524e+01
-4.903743735909104728e+00 2.185111197831250074e+00 2.157513505489017902e+01
-5.291079879612915704e+00 1.353155224003145918e+00 2.102730466743429361e+01
-5.311889232143848005e+00 1.516375152707372109e+00 2.112397811929140445e+01
-5.127378848946772649e+00 1.885464458622911010e+00 2.142285492543978620e+01
-5.194787272871221440e+00 1.874104620041332936e+00 1.996350430261768594e+01
-5.332294537819592506e+00 1.335892291207831484e+00 1.940616945989469500e+01
-4.803238344884873889e+00 2.393338218286041652e+00 2.195044127508566945e+01
-5.113526767423010710e+00 1.820324059289734286e+00 2.153744594428508918e+01
-5.292519199357469617e+00 1.508943213217495583e+00 1.958812729434451683e+01
-5.266822604921444828e+00 1.363698058819514003e+00 1.998245361757778582e+01
-5.078421030202539654e+00 2.034055811648345369e+00 2.142321369294523947e+01
-5.294326930486269234e+00 1.315156233966598087e+00 1.996672203424426684e+01
-5.308389699307255682e+00 1.254699946848794490e+00 2.043657355236600282e+01
-5.255362246875893817e+00 1.251932157885544683e+00 2.068611639116379308e+01
-5.314209628572912791e+00 1.480167763225392896e+00 2.122379526965517726e+01
-4.986397237453953579e+00 2.045016075473866657e+00 2.144911092537372355e+01
-5.287571099748481274e+00 1.756912551704992609e+00 1.907600918227395326e+01
-5.279791045420394902e+00 1.243864618750165185e+00 2.001677709040370701e+01
-5.302102922517160977e+00 1.506466603829982098e+00 1.980951334099672323e+01
-5.198553760769166310e+00 1.584463569461219024e+00 2.119319491264413458e+01
-5.253549789411305682e+00 1.753686156353752246e+00 1.938403162331575658e+01
-5.368342724330446458e+00 1.471683222656000822e+00 2.105676164015530460e+01
